CustomerID,CustomerAge,CustomerGender
1,35,Female
2,31,Male
3,58,Female
4,33,Other
5,62,Female
6,41,Male
7,42,Male
8,70,Female
9,61,Male
10,25,Male
11,54,Male
12,69,Female
13,41,Female
14,26,Female
15,53,Male
16,48,Male
17,63,Female
18,28,Female
19,36,Female
20,46,Male
21,44,Female
22,23,Female
23,25,Female
24,46,Female
25,70,Male
26,54,Female
27,51,Female
28,31,Female
29,38,Male
30,67,Female
31,33,Male
32,19,Female
33,22,Male
34,48,Female
35,64,Female
36,67,Male
37,24,Female
38,70,Male
39,28,Male
40,55,Female
41,26,Female
42,42,Male
43,56,Male
44,37,Male
45,58,Female
46,18,Female
47,26,Male
48,18,Female
49,48,Male
50,45,Male
51,70,Female
52,64,Male
53,41,Male
54,63,Female
55,70,Female
56,63,Female
57,65,Female
58,57,Male
59,63,Male
60,32,Female
61,42,Female
62,38,Male
63,33,Female
64,65,Other
65,60,Female
66,26,Female
67,46,Male
68,57,Male
69,69,Male
70,54,Male
71,24,Male
72,50,Female
73,25,Male
74,29,Female
75,38,Female
76,59,Male
77,29,Female
78,41,Male
79,55,Male
80,61,Male
81,68,Male
82,70,Female
83,63,Male
84,49,Female
85,56,Female
86,33,Female
87,53,Male
88,39,Female
89,20,Other
90,41,Female
91,43,Female
92,30,Male
93,61,Female
94,67,Female
95,23,Female
96,46,Female
97,19,Male
98,52,Male
99,50,Male
100,32,Other
101,52,Female
102,48,Male
103,20,Male
104,53,Male
105,30,Female
106,40,Male
107,68,Male
108,61,Male
109,65,Female
110,19,Female
111,48,Male
112,38,Male
113,27,Female
114,54,Female
115,25,Female
116,43,Male
117,23,Male
118,36,Female
119,50,Male
120,49,Female
121,58,Male
122,21,Male
123,68,Female
124,68,Female
125,56,Female
126,51,Female
127,23,Male
128,63,Female
129,32,Female
130,52,Female
131,62,Male
132,30,Female
133,49,Female
134,22,Male
135,68,Female
136,24,Male
137,45,Female
138,33,Female
139,44,Female
140,52,Female
141,54,Female
142,37,Male
143,52,Male
144,56,Male
145,41,Female
146,56,Male
147,30,Female
148,70,Male
149,46,Female
150,44,Female
151,64,Female
152,21,Other
153,20,Female
154,35,Female
155,29,Male
156,43,Female
157,50,Male
158,59,Female
159,19,Female
160,57,Female
161,53,Female
162,24,Male
163,58,Female
164,63,Male
165,63,Male
166,48,Male
167,53,Female
168,30,Male
169,39,Male
170,66,Female
171,37,Male
172,49,Male
173,23,Male
174,35,Male
175,26,Male
176,22,Male
177,20,Male
178,44,Male
179,49,Female
180,60,Female
181,53,Male
182,59,Male
183,33,Female
184,38,Female
185,33,Female
186,70,Male
187,54,Female
188,24,Male
189,70,Male
190,59,Male
191,49,Female
192,27,Male
193,38,Female
194,33,Male
195,50,Male
196,37,Other
197,33,Male
198,64,Male
199,60,Female
200,45,Female
201,22,Male
202,37,Male
203,40,Female
204,30,Female
205,49,Male
206,69,Female
207,68,Female
208,65,Female
209,41,Male
210,18,Female
211,69,Male
212,34,Male
213,63,Female
214,60,Female
215,45,Male
216,26,Male
217,70,Male
218,45,Male
219,51,Male
220,51,Female
221,29,Female
222,47,Male
223,26,Female
224,56,Female
225,49,Male
226,27,Female
227,53,Female
228,69,Male
229,19,Male
230,56,Female
231,43,Female
232,43,Female
233,47,Male
234,61,Female
235,58,Male
236,51,Female
237,32,Male
238,58,Female
239,41,Female
240,58,Female
241,65,Female
242,59,Female
243,61,Female
244,51,Other
245,36,Female
246,57,Male
247,66,Female
248,36,Male
249,59,Female
250,31,Male
251,69,Female
252,61,Female
253,67,Female
254,30,Male
255,20,Male
256,23,Female
257,29,Female
258,66,Male
259,49,Male
260,23,Male
261,68,Female
262,21,Female
263,26,Female
264,61,Female
265,56,Female
266,34,Female
267,64,Male
268,31,Male
269,42,Male
270,63,Female
271,68,Male
272,57,Female
273,64,Male
274,69,Female
275,33,Female
276,54,Female
277,45,Male
278,60,Male
279,43,Female
280,46,Male
281,23,Female
282,40,Female
283,54,Male
284,55,Female
285,52,Other
286,32,Female
287,58,Female
288,26,Male
289,45,Female
290,19,Male
291,32,Male
292,41,Male
293,51,Male
294,62,Female
295,29,Male
296,50,Male
297,56,Male
298,59,Female
299,35,Female
300,57,Male
301,69,Male
302,33,Female
303,26,Male
304,53,Male
305,25,Male
306,25,Male
307,46,Female
308,34,Female
309,46,Female
310,55,Male
311,30,Female
312,44,Female
313,59,Female
314,40,Female
315,58,Female
316,39,Female
317,58,Female
318,56,Male
319,65,Male
320,27,Female
321,68,Female
322,67,Female
323,19,Other
324,41,Male
325,23,Female
326,58,Female
327,27,Male
328,21,Male
329,33,Female
330,65,Male
331,51,Female
332,47,Male
333,65,Male
334,34,Female
335,67,Female
336,56,Female
337,33,Female
338,68,Female
339,44,Female
340,58,Female
341,51,Male
342,33,Male
343,37,Male
344,23,Male
345,57,Other
346,60,Female
347,50,Female
348,41,Male
349,24,Male
350,51,Male
351,66,Male
352,46,Male
353,70,Female
354,51,Male
355,32,Female
356,44,Female
357,50,Female
358,58,Male
359,67,Female
360,43,Female
361,53,Other
362,39,Other
363,20,Female
364,43,Female
365,18,Male
366,41,Male
367,26,Male
368,45,Female
369,38,Female
370,45,Male
371,42,Female
372,70,Female
373,50,Male
374,35,Female
375,52,Male
376,37,Male
377,49,Male
378,33,Male
379,48,Female
380,70,Male
381,23,Male
382,69,Female
383,48,Male
384,24,Female
385,66,Female
386,33,Female
387,20,Female
388,54,Male
389,42,Male
390,25,Male
391,67,Male
392,29,Female
393,50,Female
394,24,Male
395,68,Female
396,29,Male
397,42,Male
398,64,Male
399,40,Female
400,45,Male
401,54,Female
402,53,Female
403,20,Other
404,59,Female
405,68,Female
406,29,Female
407,18,Male
408,49,Male
409,60,Male
410,58,Male
411,20,Female
412,31,Male
413,41,Male
414,41,Male
415,48,Female
416,32,Other
417,23,Male
418,19,Female
419,42,Male
420,63,Female
421,19,Male
422,53,Male
423,67,Female
424,43,Female
425,53,Female
426,43,Male
427,35,Female
428,53,Female
429,54,Male
430,20,Female
431,38,Other
432,66,Female
433,47,Female
434,55,Female
435,25,Female
436,58,Female
437,53,Female
438,58,Male
439,63,Female
440,34,Other
441,21,Female
442,30,Male
443,19,Male
444,38,Male
445,43,Female
446,55,Male
447,49,Female
448,45,Male
449,41,Male
450,50,Male
451,42,Male
452,54,Female
453,62,Male
454,47,Female
455,36,Female
456,22,Female
457,39,Female
458,30,Male
459,37,Female
460,51,Female
461,67,Female
462,33,Male
463,61,Male
464,26,Female
465,69,Female
466,36,Female
467,50,Female
468,18,Male
469,53,Female
470,23,Female
471,37,Male
472,68,Other
473,60,Female
474,65,Female
475,58,Male
476,61,Female
477,70,Male
478,33,Other
479,19,Female
480,25,Male
481,55,Male
482,39,Male
483,61,Male
484,68,Other
485,23,Male
486,37,Other
487,29,Female
488,68,Female
489,33,Male
490,64,Female
491,33,Female
492,60,Female
493,44,Female
494,66,Female
495,33,Female
496,51,Male
497,43,Male
498,36,Female
499,37,Male
500,42,Male
501,31,Female
502,21,Male
503,27,Male
504,39,Male
505,32,Female
506,46,Male
507,35,Female
508,29,Other
509,64,Female
510,63,Male
511,59,Female
512,58,Male
