OrderDate,OrderID,DeliveryDate,CustomerID,Location,Zone,DeliveryType,ProductCategory,SubCategory,Product,UnitPrice,ShippingFee,OrderQuantity,SalePrice,Status,Rating,Reason,Customer_age,Delivery_days
2019-03-20,1,2019-03-29,487,Upper East,South,Standard Delivery,Health and beauty,Makeup,Maybelline Foundation,1452.35,6.0,3,4363.05,Delivered,3,,36,9
2018-02-11,2,2018-02-15,729,Volta,Central,Shipped from Abroad,Phones and Tablet,Tablets,Amazon Fire HD 8 Kids Tablet,78.36,18.14,3,253.22,Returned,1,Not as expected,61,4
2018-02-16,3,2018-02-21,539,Upper East,South,Standard Delivery,Fashion,Clothing,100% Cotton 4 Piece T-Shirts,266.56,11.75,4,1077.99,Delivered,1,,60,5
2016-03-13,4,2016-03-18,553,Greater Accra,North,Express,Home and Office,Furniture,Ergonomic Office Chair,1181.16,38.49,2,2400.81,Delivered,4,,59,5
2018-10-07,5,2018-10-14,808,Weija,North,Shipped from Abroad,Home and Office,Stationery,Moleskine Notebook,718.89,18.57,5,3613.02,Delivered,1,,51,7
2019-10-19,6,2019-11-05,355,Oti,Central,Express,Phones and Tablet,Mobile phones,iPhone 12,1118.12,33.01,1,1151.13,Returned,2,Not as expected,63,17
2019-02-06,7,2019-02-11,159,Western,East,Express,Home and Office,Furniture,8 Cubes Plastic Wardrobe,1308.97,18.08,1,1327.05,Delivered,4,,49,5
2015-04-12,8,2015-04-27,180,Ashanti,East,Express,Health and beauty,Makeup,Maybelline Foundation,886.89,30.26,3,2690.93,Delivered,1,,67,15
2015-09-12,9,2015-09-24,334,Oti,South,Express,Health and beauty,Makeup,MAC Lipstick,1216.1,47.39,3,3695.69,Delivered,2,,23,12
2020-10-01,10,2020-10-20,960,Upper East,North,Shipped from Abroad,Fashion,Shoes,Adidas Ultraboost,950.68,39.54,4,3842.26,Delivered,2,,49,19
2017-06-13,11,2017-07-01,980,Weija,East,Shipped from Abroad,Fashion,Accessories,Polarized Sunglasses,663.24,35.92,5,3352.12,Delivered,3,,45,18
2017-08-29,12,2017-09-07,827,Weija,South,Standard Delivery,Home and Office,Furniture,8 Cubes Plastic Wardrobe,779.67,41.8,4,3160.48,Delivered,2,,41,9
2016-05-01,13,2016-05-05,72,Volta,Central,Standard Delivery,Electronics,Digital Cameras,Sony Alpha a6000,1440.66,31.53,3,4353.51,Delivered,4,,49,4
2019-11-03,14,2019-11-13,614,Weija,South,Standard Delivery,Fashion,Shoes,Adidas Ultraboost,1439.5,5.0,3,4323.5,Delivered,3,,21,10
2015-02-14,15,2015-02-19,978,Ashanti,West,Shipped from Abroad,Fashion,Clothing,100% Cotton 4 Piece T-Shirts,949.29,44.42,2,1943.0,Delivered,3,,29,5
2016-06-17,16,2016-06-25,637,Greater Accra,South,Express,Home and Office,Stationery,Moleskine Notebook,416.3,30.38,1,446.68,Returned,2,Not as expected,52,8
2018-11-04,17,2018-11-16,749,Greater Accra,North,Standard Delivery,Electronics,Home Theatre,LG Soundbar,561.5,38.38,2,1161.38,Delivered,3,,39,12
